movieId,title
163,Desperado (1995)
210,Wild Bill (1995)
266,Legends of the Fall (1994)
303,"Quick and the Dead, The (1995)"
368,Maverick (1994)
383,Wyatt Earp (1994)
416,Bad Girls (1994)
432,City Slickers II: The Legend of Curly's Gold (1994)
458,Geronimo: An American Legend (1993)
487,Lightning Jack (1994)
553,Tombstone (1993)
590,Dances with Wolves (1990)
599,"Wild Bunch, The (1969)"
714,Dead Man (1995)
800,Lone Star (1996)
948,Giant (1956)
1007,"Apple Dumpling Gang, The (1975)"
1008,"Davy Crockett, King of the Wild Frontier (1955)"
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
1209,Once Upon a Time in the West (C'era una volta il West) (1968)
1254,"Treasure of the Sierra Madre, The (1948)"
1266,Unforgiven (1992)
1283,High Noon (1952)
1304,Butch Cassidy and the Sundance Kid (1969)
1378,Young Guns (1988)
1379,Young Guns II (1990)
1408,"Last of the Mohicans, The (1992)"
1887,Almost Heroes (1998)
1928,Cimarron (1931)
2012,Back to the Future Part III (1990)
2016,"Apple Dumpling Gang Rides Again, The (1979)"
2055,Hot Lead and Cold Feet (1978)
2070,Tender Mercies (1983)
2103,Tall Tale (1995)
2142,"American Tail: Fievel Goes West, An (1991)"
2328,Vampires (1998)
2401,Pale Rider (1985)
2478,¡Three Amigos! (1986)
2527,Westworld (1973)
2701,Wild Wild West (1999)
2896,Alvarez Kelly (1966)
2921,High Plains Drifter (1973)
2922,Hang 'Em High (1968)
2951,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
3037,Little Big Man (1970)
3074,Jeremiah Johnson (1972)
3093,McCabe & Mrs. Miller (1971)
3267,"Mariachi, El (1992)"
3365,"Searchers, The (1956)"
3368,"Big Country, The (1958)"
3467,Hud (1963)
3494,True Grit (1969)
3508,"Outlaw Josey Wales, The (1976)"
3624,Shanghai Noon (2000)
3671,Blazing Saddles (1974)
3681,For a Few Dollars More (Per qualche dollaro in più) (1965)
3727,Near Dark (1987)
3737,Lonely Are the Brave (1962)
3792,Duel in the Sun (1946)
3806,Mackenna's Gold (1969)
3871,Shane (1953)
3873,Cat Ballou (1965)
4031,All the Pretty Horses (2000)
4035,"Claim, The (2000)"
4042,"Alamo, The (1960)"
4321,City Slickers (1991)
4323,"Horse Soldiers, The (1959)"
4327,"Magnificent Seven, The (1960)"
4329,Rio Bravo (1959)
4406,"Man Who Shot Liberty Valance, The (1962)"
4428,"Misfits, The (1961)"
4534,Return to Snowy River (a.k.a. The Man From Snowy River II) (1988)
4535,"Man from Snowy River, The (1982)"
4709,Paint Your Wagon (1969)
4710,"Shootist, The (1976)"
4721,American Outlaws (2001)
4785,"Great Silence, The (Grande silenzio, Il) (1969)"
4962,Texas Rangers (2001)
5063,One-Eyed Jacks (1961)
5300,3:10 to Yuma (1957)
5372,Calamity Jane (1953)
5375,"Harvey Girls, The (1946)"
5389,Spirit: Stallion of the Cimarron (2002)
5435,Hombre (1967)
5440,She Wore a Yellow Ribbon (1949)
5456,Wagons East (1994)
5550,Love Me Tender (1956)
5699,Tom Horn (1980)
5826,Rio Grande (1950)
