,rank,title,rating
0,1,쇼생크 탈출,9.3 (2.8M)
1,2,Daeboo,9.2 (2M)
2,3,다크 나이트,9.0 (2.8M)
3,4,The Godfather Part II,9.0 (1.3M)
4,5,12명의 성난 사람들,9.0 (849K)
5,6,쉰들러 리스트,9.0 (1.4M)
6,7,반지의 제왕: 왕의 귀환,9.0 (1.9M)
7,8,펄프 픽션,8.9 (2.2M)
8,9,반지의 제왕: 반지 원정대,8.9 (2M)
9,10,석양의 무법자,8.8 (800K)
10,11,포레스트 검프,8.8 (2.2M)
11,12,파이트 클럽,8.8 (2.3M)
12,13,The Lord of the Rings: The Two Towers,8.8 (1.8M)
13,14,인셉션,8.8 (2.5M)
14,15,스타워즈 에피소드 5 - 제국의 역습,8.7 (1.4M)
15,16,매트릭스,8.7 (2M)
16,17,좋은 친구들,8.7 (1.2M)
17,18,뻐꾸기 둥지 위로 날아간 새,8.7 (1.1M)
18,19,세븐,8.6 (1.8M)
19,20,멋진 인생,8.6 (493K)
20,21,인터스텔라,8.7 (2M)
21,22,7인의 사무라이,8.6 (362K)
22,23,양들의 침묵,8.6 (1.5M)
23,24,라이언 일병 구하기,8.6 (1.5M)
24,25,시티 오브 갓,8.6 (791K)
25,26,La vita è bella,8.6 (733K)
26,27,그린 마일,8.6 (1.4M)
27,28,Star Wars,8.6 (1.4M)
28,29,Terminator 2: Judgment Day,8.6 (1.2M)
29,30,Spider-Man: Across the Spider-Verse,8.6 (330K)
30,31,빽 투 더 퓨쳐,8.5 (1.3M)
31,32,센과 치히로의 행방불명,8.6 (830K)
32,33,피아니스트,8.5 (895K)
33,34,Gisaengchung,8.5 (922K)
34,35,싸이코,8.5 (709K)
35,36,글래디에이터,8.5 (1.6M)
36,37,라이온 킹,8.5 (1.1M)
37,38,레옹,8.5 (1.2M)
38,39,디파티드,8.5 (1.4M)
39,40,아메리칸 히스토리 X,8.5 (1.2M)
40,41,위플래쉬,8.5 (960K)
41,42,프레스티지,8.5 (1.4M)
42,43,반딧불이의 묘,8.5 (303K)
43,44,Seppuku,8.6 (66K)
44,45,유주얼 서스펙트,8.5 (1.1M)
45,46,카사블랑카,8.5 (599K)
46,47,언터처블: 1%의 우정,8.5 (914K)
47,48,모던 타임즈,8.5 (256K)
48,49,시네마 천국,8.5 (278K)
49,50,이창,8.5 (516K)
50,51,원스 어폰 어 타임 인 더 웨스트,8.5 (346K)
51,52,에이리언,8.5 (935K)
52,53,City Lights,8.5 (194K)
53,54,지옥의 묵시록,8.4 (701K)
